m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,443.986
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,449.915
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,427.727
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,380.408
1472,1472,1472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,419.598
1504,1504,1504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,448.978
1536,1536,1536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.268
1568,1568,1568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,444.243
1600,1600,1600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,448.552
1632,1632,1632,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,454.429
1664,1664,1664,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,445.253
1696,1696,1696,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,458.888
1728,1728,1728,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,440.84
1760,1760,1760,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,453.311
1792,1792,1792,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,438.923
1824,1824,1824,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.468
1856,1856,1856,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,437.897
1888,1888,1888,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.644
1920,1920,1920,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,438.892
1952,1952,1952,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,455.919
1984,1984,1984,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,439.695
2016,2016,2016,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,456.162
2048,2048,2048,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,469.513
2080,2080,2080,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,456.825
2112,2112,2112,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,444.518
2144,2144,2144,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,459.391
2176,2176,2176,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,447.856
2208,2208,2208,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,461.491
2240,2240,2240,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,451.1
2272,2272,2272,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,461.958
2304,2304,2304,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,454.788
2336,2336,2336,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,456.006
2368,2368,2368,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,459.22
2400,2400,2400,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,465.416
2432,2432,2432,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,463.054
2464,2464,2464,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,462.106
2496,2496,2496,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,468.368
2528,2528,2528,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,464.866
2560,2560,2560,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,473.232
2592,2592,2592,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,465.142
2624,2624,2624,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,461.494
2656,2656,2656,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,466.096
2688,2688,2688,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,466.385
2720,2720,2720,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,466.829
2752,2752,2752,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,472.532
2784,2784,2784,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,464.989
2816,2816,2816,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,463.849
2848,2848,2848,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,467.435
2880,2880,2880,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,469.371
2912,2912,2912,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,461.155
2944,2944,2944,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,462.733
2976,2976,2976,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,464.826
3008,3008,3008,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,469.237
3040,3040,3040,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,465.539
3072,3072,3072,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,475.803
