m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,467.48
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.432
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,464.372
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,466.837
1472,1472,1472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,463.102
1504,1504,1504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,470.008
1536,1536,1536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.685
1568,1568,1568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,470.618
1600,1600,1600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,466.159
1632,1632,1632,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.025
1664,1664,1664,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,468.973
1696,1696,1696,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.288
1728,1728,1728,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.113
1760,1760,1760,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,470.842
1792,1792,1792,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.093
1824,1824,1824,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.26
1856,1856,1856,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,474.714
1888,1888,1888,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.502
1920,1920,1920,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.809
1952,1952,1952,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.965
1984,1984,1984,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.754
2016,2016,2016,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.775
2048,2048,2048,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.181
2080,2080,2080,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.916
2112,2112,2112,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,472.708
2144,2144,2144,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.697
2176,2176,2176,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,474.63
2208,2208,2208,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.811
2240,2240,2240,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.911
2272,2272,2272,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.246
2304,2304,2304,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.88
2336,2336,2336,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.594
2368,2368,2368,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.516
2400,2400,2400,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.326
2432,2432,2432,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.801
2464,2464,2464,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478
2496,2496,2496,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.062
2528,2528,2528,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.614
2560,2560,2560,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.176
2592,2592,2592,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.935
2624,2624,2624,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,465.732
2656,2656,2656,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.459
2688,2688,2688,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.274
2720,2720,2720,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.952
2752,2752,2752,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.113
2784,2784,2784,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.558
2816,2816,2816,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,467.556
2848,2848,2848,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.646
2880,2880,2880,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.863
