m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
352,352,352,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,2184.67
360,360,360,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1061.54
368,368,368,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1455.81
376,376,376,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1064.5
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,2197.57
392,392,392,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1113.97
400,400,400,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1541.7
408,408,408,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1157.94
416,416,416,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,2593.58
424,424,424,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1218.16
432,432,432,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,2275.68
440,440,440,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1649.97
448,448,448,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,2598.43
456,456,456,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1663.01
464,464,464,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,4,S9150_14.50.2,1632.04
