m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
416,416,416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2300.5
424,424,424,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2377.39
432,432,432,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2494.48
440,440,440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2582.7
448,448,448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2691.98
456,456,456,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2221.82
464,464,464,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2301.25
472,472,472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2396.06
480,480,480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2493.41
488,488,488,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2523.38
496,496,496,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2624.52
504,504,504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2691.7
512,512,512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2795.77
520,520,520,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2458.83
528,528,528,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2555.58
536,536,536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2645.6
544,544,544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2728.98
552,552,552,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2792.34
560,560,560,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2894.91
568,568,568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2979.5
576,576,576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3071.22
584,584,584,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2414.85
592,592,592,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2502.22
600,600,600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2625.06
608,608,608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2855.49
616,616,616,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2891.18
624,624,624,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3007.11
632,632,632,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3103.23
640,640,640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3185.52
648,648,648,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2610.05
656,656,656,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2674.06
664,664,664,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2749.32
672,672,672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2825.88
680,680,680,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2881.1
688,688,688,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2971.86
696,696,696,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3063.5
704,704,704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3124.86
712,712,712,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2850.55
720,720,720,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2926.83
728,728,728,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2990.05
736,736,736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3057.81
744,744,744,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3117.8
752,752,752,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3201.65
760,760,760,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3262.43
768,768,768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3334.17
776,776,776,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2873.15
784,784,784,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2930.69
792,792,792,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2979.63
800,800,800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3029.05
808,808,808,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3067.32
816,816,816,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3130.19
824,824,824,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3201.95
832,832,832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3279.06
840,840,840,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2871.51
848,848,848,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2942.18
856,856,856,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3027.19
864,864,864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3097.03
872,872,872,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3141.79
880,880,880,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3204.61
888,888,888,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3256.74
896,896,896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3323.3
904,904,904,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2931.56
912,912,912,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3003.54
920,920,920,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3044.68
928,928,928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3106.12
936,936,936,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3115.23
944,944,944,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3190.73
952,952,952,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3228.82
960,960,960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3285.87
968,968,968,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2946.15
976,976,976,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3008.61
984,984,984,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3053.03
992,992,992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3109.03
1000,1000,1000,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3138.88
1008,1008,1008,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3183.86
1016,1016,1016,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3224.78
1024,1024,1024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3293.3
1032,1032,1032,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2979.54
1040,1040,1040,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3021.19
1048,1048,1048,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2988.99
1056,1056,1056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3110.33
1064,1064,1064,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3065.08
1072,1072,1072,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3132.61
1080,1080,1080,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3158.35
1088,1088,1088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3284.48
1096,1096,1096,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2927.3
1104,1104,1104,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2972.26
1112,1112,1112,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3016.35
1120,1120,1120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3146.75
1128,1128,1128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3177.64
1136,1136,1136,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3170.15
1144,1144,1144,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3212.79
1152,1152,1152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3290.3
1160,1160,1160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2950.85
1168,1168,1168,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3006.33
1176,1176,1176,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3028.72
1184,1184,1184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3152.24
1192,1192,1192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3109.63
1200,1200,1200,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3147.3
1208,1208,1208,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3180.02
1216,1216,1216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3243.02
1224,1224,1224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2934.35
1232,1232,1232,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2976.4
1240,1240,1240,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3009.96
1248,1248,1248,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3081.16
1256,1256,1256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3069.86
1264,1264,1264,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3148.25
1272,1272,1272,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3183.82
1280,1280,1280,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3221.79
1288,1288,1288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2924.17
1296,1296,1296,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3023.11
1304,1304,1304,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3050.22
1312,1312,1312,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3109.16
1320,1320,1320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3121.8
1328,1328,1328,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3165.01
1336,1336,1336,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3169.13
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3250.88
1352,1352,1352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2958.42
1360,1360,1360,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3014.25
1368,1368,1368,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2961.69
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3129.82
1384,1384,1384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3074.59
1392,1392,1392,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3131.63
1400,1400,1400,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3158.14
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3181.29
1416,1416,1416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2998.04
1424,1424,1424,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3040.7
1432,1432,1432,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3058.62
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3140.26
